period,rtnMean,rtnMedian,rtnStd,annRtn
daily,0.00156913016151684,0.00031681969368641,0.00724268018625167,0.479900847757282
weekly,0.00742960461226702,0.0056485136195061,0.0183675569132078,0.469484022893655
monthly,0.0323967688715642,0.026746819833192,0.0399844579816864,0.466086652133627
