symbol,startdate,enddate,initPos,maxPos,netPL,realizedPL,txnFee,nTxns
m1405,2013-12-31,2014-01-14,200,200,-63000,-62000,1000,2
m1409,2013-12-05,2013-12-23,-200,-200,-21000,-20000,1000,2
m1409,2013-12-31,2014-01-14,-200,-200,107000,108000,1000,2
m1501,2014-08-18,2014-08-28,50,50,-3750,-3500,250,2
m1501,2014-09-09,2014-09-17,-70,-70,3850,4200,350,2
m1501,2014-09-30,2014-10-08,-64,-80,-20559.9999999999,-20159.9999999999,400,3
m1505,2014-09-22,2014-09-26,-48,-80,49679.9999999999,50079.9999999999,400,3
p1501,2014-07-10,2014-07-14,50,70,-120820,-120400,420,5
p1501,2014-09-30,2014-10-08,40,40,5360,5600,240,2
p1501,2014-10-15,2014-10-17,165,200,-89900.0000000007,-88700.0000000007,1200,3
p1505,2014-10-15,2014-10-17,-83,-200,-28640.0000000001,-27440.0000000001,1200,4
pp1406,2014-03-28,2014-03-28,100,100,-169127.74,-167490,1637.74,3
pp1409,2014-03-28,2014-04-08,21,100,141921.09,143520,1598.91,14
pp1409,2014-04-25,2014-04-28,-50,-70,50300.8099999997,51054.9999999997,754.19,7
pp1409,2014-05-06,2014-05-07,-4,-50,-9518.00999999994,-8974.99999999995,543.01,9
pp1409,2014-05-22,2014-05-26,-6,-170,-122040.83,-120185,1855.83,15
pp1409,2014-06-10,2014-06-11,3,100,29388.6000000003,30520.0000000003,1131.4,4
pp1501,2014-06-03,2014-07-09,-8,-190,219272.96,221795,2522.04,19
pp1501,2014-10-27,2014-10-30,9,200,155769.7,157755,1985.3,13
pp1501,2014-11-03,2014-11-04,2,100,-71126.89,-70135,991.89,7
rb1405,2013-12-11,2013-12-30,60,60,-69264.06,-69000,264.06,2
rb1405,2014-03-18,2014-04-03,-80,-110,-80524.57,-80100,424.57,5
rb1410,2014-05-21,2014-05-23,-60,-80,-10695.25,-10400,295.25,3
rb1410,2014-05-30,2014-06-10,-80,-80,4504.5,4800,295.5,2
rb1410,2014-09-04,2014-09-09,-50,-50,5833.8,6000,166.2,2
rb1501,2014-09-19,2014-09-23,-50,-50,54339.11,54500,160.89,2
ru1401,2013-11-22,2013-11-25,-10,-10,21276.53,21500,223.47,2
ru1405,2014-02-13,2014-02-25,-5,-7,87071.54,87200,128.46,3
ru1409,2013-12-13,2013-12-13,10,10,-1239.94,-1000,239.94,2
y1501,2014-09-12,2014-09-12,-40,-40,1360,1600,240,2
